13 de setembro	81414	1967	2575	32	168	86723
14 de setembro	74002	1766	2129	34	145	86841
15 de setembro	53636	1058	1593	36	94	87010
16 de setembro	45196	841	1155	41	98	87143
17 de setembro	63403	1411	2296	64	109	87291
18 de setembro	55320	1208	2041	26	95	87406
19 de setembro	52383	1218	1624	40	66	87518
20 de setembro	59557	1663	1912	42	104	87662
21 de setembro	49025	1077	1625	44	71	87799
22 de setembro	45551	722	1250	107	79	87893
23 de setembro	134702	1491	2842	488	180	88248
24 de setembro	70085	1002	1666	188	108	88413
25 de setembro	61433	733	1561	107	79	88545
26 de setembro	51870	744	1254	116	72	88624
27 de setembro	60742	861	1440	162	86	88786
28 de setembro	52663	1222	1222	113	68	88885
29 de setembro	2025011	91168	51730	925	7496	91060
30 de setembro	2627698	140820	86422	1274	12531	95543
1 de outubro	90148	2676	2263	74	247	95756
2 de outubro	45560	1057	1223	53	93	95870
3 de outubro	39240	990	968	72	68	95959
4 de outubro	31446	856	626	25	56	96038
5 de outubro	28863	738	547	30	38	96132
6 de outubro	23210	670	484	59	33	96214
7 de outubro	23927	766	555	32	53	96325
8 de outubro	33721	1655	595	37	53	96376
9 de outubro	26204	1008	472	28	51	96405
10 de outubro	31416	968	599	35	41	96438
11 de outubro	48634	1217	813	39	58	96498
12 de outubro	32207	928	516	31	36	96525
13 de outubro	20113	460	494	29	39	96545
14 de outubro	16703	437	355	18	24	96554
15 de outubro	16528	452	377	19	21	96565
16 de outubro	16832	451	403	18	15	96577
17 de outubro	19242	575	440	33	33	96590
18 de outubro	15413	475	312	12	35	96615
19 de outubro	15372	426	358	46	36	96643
20 de outubro	18451	344	521	37	17	96676
21 de outubro	17089	293	411	30	15	96695
22 de outubro	19131	424	437	64	45	96715
23 de outubro	20107	426	462	59	35	96738
24 de outubro	22072	427	382	49	26	96766
25 de outubro	22109	580	382	12	20	96787
26 de outubro	30330	1321	410	17	29	96815
27 de outubro	25927	1091	393	42	20	96837
28 de outubro	43028	1036	1153	78	55	96900
29 de outubro	26045	483	789	94	41	96928
30 de outubro	29563	459	900	136	69	96973
31 de outubro	115280	1450	3170	292	406	97394
